Group,Matchup,Date,Home Team,Score,Away Team,Winner,Tournament
Group C (Scotland),Brazil vs Morocco,2023-03-25,Morocco,2-1,Brazil,Morocco,Friendly
Group C (Scotland),Brazil vs Morocco,1998-06-16,Brazil,3-0,Morocco,Brazil,FIFA World Cup
Group C (Scotland),Brazil vs Morocco,1997-10-09,Brazil,2-0,Morocco,Brazil,Friendly
Group C (Scotland),Brazil vs Haiti,2016-06-08,Brazil,7-1,Haiti,Brazil,Copa América
Group C (Scotland),Brazil vs Haiti,2004-08-18,Haiti,0-6,Brazil,Brazil,Friendly
Group C (Scotland),Brazil vs Haiti,1974-04-21,Brazil,4-0,Haiti,Brazil,Friendly
Group C (Scotland),Brazil vs Scotland,2011-03-27,Brazil,2-0,Scotland,Brazil,Friendly
Group C (Scotland),Brazil vs Scotland,1998-06-10,Brazil,2-1,Scotland,Brazil,FIFA World Cup
Group C (Scotland),Brazil vs Scotland,1990-06-20,Brazil,1-0,Scotland,Brazil,FIFA World Cup
Group C (Scotland),Brazil vs Scotland,1987-05-26,Scotland,0-2,Brazil,Brazil,Rous Cup
Group C (Scotland),Brazil vs Scotland,1982-06-18,Brazil,4-1,Scotland,Brazil,FIFA World Cup
Group C (Scotland),Brazil vs Chile,2025-09-04,Brazil,3-0,Chile,Brazil,FIFA World Cup qualification
Group C (Scotland),Brazil vs Chile,2024-10-10,Chile,1-2,Brazil,Brazil,FIFA World Cup qualification
Group C (Scotland),Brazil vs Chile,2022-03-24,Brazil,4-0,Chile,Brazil,FIFA World Cup qualification
Group C (Scotland),Brazil vs Chile,2021-09-02,Chile,0-1,Brazil,Brazil,FIFA World Cup qualification
Group C (Scotland),Brazil vs Chile,2021-07-02,Brazil,1-0,Chile,Brazil,Copa América
Group C (Scotland),Morocco vs Haiti,N/A,N/A,No matches,N/A,N/A,N/A
Group C (Scotland),Morocco vs Scotland,1998-06-23,Scotland,0-3,Morocco,Morocco,FIFA World Cup
Group C (Scotland),Morocco vs Chile,2022-09-23,Morocco,2-0,Chile,Morocco,Friendly
Group C (Scotland),Morocco vs Chile,1998-06-04,Chile,1-1,Morocco,Draw,Friendly
